;ENG;FRA;ITA;SPA;GER;POL;RUS;RUS;;;X;
PROV235;Krivij Rig;Krivij Rig;Krivij Rig;Krivij Rig;Krivij Rig;Krivij Rig;Кривой Рог;Кривой Рог;;;X;
PROV236;Kirovograd;Kirovograd;Kirovograd;Kirovograd;Kirovograd;Kirovograd;Кировоград;Кировоград;;;X;
PROV237;Cerkasi;Cerkasi;Cerkasi;Cerkasi;Cerkasi;Cerkasi;Черкассы;Черкассы;;;X;
PROV238;Kiiv;Kiiv;Kiiv;Kiiv;Kiiv;Kiiv;Киев;Киев;;;X;
PROV239;Nizin;Nizin;Nizin;Nizin;Nizin;Nizin;Нижень;Нижень;;;X;
PROV240;Korosten';Korosten';Korosten';Korosten';Korosten';Korosten';Коростень;Коростень;;;X;
PROV241;Cernigiv;Cernigiv;Cernigiv;Cernigiv;Cernigiv;Cernigiv;Чернигов;Чернигов;;;X;
PROV242;Konotop;Konotop;Konotop;Konotop;Konotop;Konotop;Конотоп;Конотоп;;;X;
PROV243;Dmitriev-L'govskij;Dmitriev-L'govskij;Dmitriev-L'govskij;Dmitriev-L'govskij;Dmitriev-L'govskij;Dmitriev-L'govskij;Дмитриев-Льговский;Дмитриев;;;X;
PROV244;Sumi;Sumi;Sumi;Sumi;Sumi;Sumi;Сумы;Сумы;;;X;
PROV245;Kremencuk;Kremencuk;Kremencuk;Kremencuk;Kremencuk;Kremencuk;Кременчуг;Кременчуг;;;X;
PROV246;Poltava;Poltava;Poltava;Poltava;Poltava;Poltava;Полтава;Полтава;;;X;
PROV247;Belgorod;Belgorod;Belgorod;Belgorod;Belgorod;Belgorod;Белгород;Белгород;;;X;
PROV248;Harkiv;Harkiv;Harkiv;Harkiv;Harkiv;Harkiv;Харьков;Харьков;;;X;
PROV249;Zaporizzв;Zaporizzв;Zaporizzв;Zaporizzв;Zaporizzв;Zaporizzв;Запорожье;Запорожье;;;X;
PROV250;Melitopol';Melitopol';Melitopol';Melitopol';Melitopol';Melitopol';Мелитополь;Мелитополь;;;X;
PROV251;Herson;Herson;Herson;Herson;Herson;Herson;Херсон;Херсон;;;X;
PROV252;Evpatorija;Evpatorija;Evpatorija;Evpatorija;Evpatorija;Evpatorija;Евпатория;Евпатория;;;X;
PROV253;Sevastopol';Sevastopol';Sevastopol';Sevastopol';Sevastopol';Sevastopol';Севастополь;Севастополь;;;X;
PROV254;Kerc';Kerc';Kerc';Kerc';Kerc';Kerc';Керчь;Керчь;;;X;
PROV255;Novorossijsk;Novorossijsk;Novorossijsk;Novorossijsk;Novorossijsk;Novorossijsk;Новороссийск;Новороссийск;;;X;
PROV256;Krasnodar;Krasnodar;Krasnodar;Krasnodar;Krasnodar;Krasnodar;Краснодар;Краснодар;;;X;
PROV257;Sal'sk;Sal'sk;Sal'sk;Sal'sk;Sal'sk;Sal'sk;Сальск;Сальск;;;X;
PROV258;Mariupol';Mariupol';Mariupol';Mariupol';Mariupol';Mariupol';Мариуполь;Мариуполь;;;X;
PROV259;Lugans'k;Lugans'k;Lugans'k;Lugans'k;Lugans'k;Lugans'k;Луганск;Луганск;;;X;
PROV260;Stalino;Stalino;Stalino;Stalino;Stalino;Stalino;Сталино;Сталино;;;X;
PROV261;Alekseevka;Alekseevka;Alekseevka;Alekseevka;Alekseevka;Alekseevka;Алексеевка;Алексеевка;;;X;
PROV262;Staryj Oskol;Staryj Oskol;Staryj Oskol;Staryj Oskol;Staryj Oskol;Staryj Oskol;Старый Оскол;Старый Оскол;;;X;
PROV263;Rossos;Rossos;Rossos;Rossos;Rossos;Rossos;Россошь;Россошь;;;X;
PROV264;Pavlovsk;Pavlovsk;Pavlovsk;Pavlovsk;Pavlovsk;Pavlovsk;Павловск;Павловск;;;X;
PROV265;Sahty;Sahty;Sahty;Sahty;Sahty;Sahty;Шахты;Шахты;;;X;
PROV266;Kup'вns'k;Kup'вns'k;Kup'вns'k;Kup'вns'k;Kup'вns'k;Kup'вns'k;Купянск;Купянск;;;X;
PROV267;Proskuriv;Proskuriv;Proskuriv;Proskuriv;Proskuriv;Proskuriv;Проскуров;Проскуров;;;X;
PROV268;Morozovskaja;Morozovskaja;Morozovskaja;Morozovskaja;Morozovskaja;Morozovskaja;Морозовская;Морозовская;;;X;
PROV269;Rostov-na-Donu;Rostov-na-Donu;Rostov-na-Donu;Rostov-na-Donu;Rostov-na-Donu;Rostov-na-Donu;Ростов на Дону;Ростов на Дону;;;X;
PROV270;Semikarakorskaja;Semikarakorskaja;Semikarakorskaja;Semikarakorskaja;Semikarakorskaja;Semikarakorskaja;Семикаракорск;Семикаракорская;;;X;
PROV271;Belaja Kalitva;Belaja Kalitva;Belaja Kalitva;Belaja Kalitva;Belaja Kalitva;Belaja Kalitva;Белая Калитва;Белая Калитва;;;X;
PROV272;Sluck;Sluck;Sluck;Sluck;Sluck;Sluck;Слуцк;Слуцк;;;X;
PROV273;Luban;Luban;Luban;Luban;Luban;Luban;Любань;Любань;;;X;
PROV274;Homel;Homel;Homel;Homel;Homel;Homel;Гомель;Гомель;;;X;
PROV275;Roslavl';Roslavl';Roslavl';Roslavl';Roslavl';Roslavl';Рославль;Рославль;;;X;
PROV276;Orлl;Orлl;Orлl;Orлl;Orлl;Orлl;Орел;Орел;;;X;
PROV277;Klincy;Klincy;Klincy;Klincy;Klincy;Klincy;Клинцы;Клинцы;;;X;
PROV278;Livny;Livny;Livny;Livny;Livny;Livny;Ливны;Ливны;;;X;
PROV279;Rjazan';Rjazan';Rjazan';Rjazan';Rjazan';Rjazan';Рязань;Рязань;;;X;
PROV280;Balasov;Balasov;Balasov;Balasov;Balasov;Balasov;Балашов;Балашов;;;X;
PROV281;Voronez;Voronez;Voronez;Voronez;Voronez;Voronez;Воронеж;Воронеж;;;X;
PROV282;Kursk;Kursk;Kursk;Kursk;Kursk;Kursk;Курск;Курск;;;X;
PROV283;Elec;Elec;Elec;Elec;Elec;Elec;Елец;Елец;;;X;
PROV284;Lipeck;Lipeck;Lipeck;Lipeck;Lipeck;Lipeck;Липецк;Липецк;;;X;
PROV285;Safonovo;Safonovo;Safonovo;Safonovo;Safonovo;Safonovo;Сафоново;Сафоново;;;X;
PROV286;Nelidovo;Nelidovo;Nelidovo;Nelidovo;Nelidovo;Nelidovo;Нелидово;Нелидово;;;X;
PROV287;Malaja Visera;Malaja Visera;Malaja Visera;Malaja Visera;Malaja Visera;Malaja Visera;Малая Вишера;Малая Вишера;;;X;
PROV288;Rzev;Rzev;Rzev;Rzev;Rzev;Rzev;Ржев;Ржев;;;X;
PROV289;Vysnij Volocлk;Vysnij Volocлk;Vysnij Volocлk;Vysnij Volocлk;Vysnij Volocлk;Vysnij Volocлk;Вышний Волоцк;Вышний Волоцк;;;X;
PROV290;Цresund;Цresund;Цresund;Цresund;Цresund;Цresund;Эресунн;Эресунн;;;X;
PROV291;Karlovac;Karlovac;Karlovac;Karlovac;Karlovac;Karlovac;Карловац;Карловац;;;X;
PROV292;Frederikshavn;Frederikshavn;Frederikshavn;Frederikshavn;Frederikshavn;Frederikshavn;Фредриксхафн;Фредриксхафн;;;X;
PROV293;Odense;Odense;Odense;Odense;Odense;Odense;Оденсе;Оденсе;;;X;
PROV294;Kobenhavn;Kobenhavn;Kobenhavn;Kobenhavn;Kobenhavn;Kobenhavn;Копенгаген;Копенгаген;;;X;
PROV295;Ronne;Ronne;Ronne;Ronne;Ronne;Ronne;Ронне;Ронне;;;X;
PROV296;Rostock;Rostock;Rostock;Rostock;Rostock;Rostock;Росток;Росток;;;X;
PROV297;Neuruppin;Neuruppin;Neuruppin;Neuruppin;Neuruppin;Neuruppin;Нейруппин;Нейруппин;;;X;
PROV298;Halle;Halle;Halle;Halle;Halle;Halle;Халле;Халле;;;X;
PROV299;Potsdam;Potsdam;Potsdam;Potsdam;Potsdam;Potsdam;Потсдам;Потсдам;;;X;
PROV300;West-Berlin;West-Berlin;West-Berlin;West-Berlin;West-Berlin;West-Berlin;Зап. Берлин;Зап. Берлин;;;X;
PROV301;Stralsund;Stralsund;Stralsund;Stralsund;Stralsund;Stralsund;Штральзунд;Штральзунд;;;X;
PROV302;Stettin;Stettin;Stettin;Stettin;Stettin;Stettin;Штеттин;Штеттин;;;X;
PROV303;Danzig;Danzig;Danzig;Danzig;Danzig;Danzig;Гданьск;Гданьск;;;X;
PROV304;Elbing;Elbing;Elbing;Elbing;Elbing;Elbing;Эльбинг;Эльбинг;;;X;
PROV305;Plock;Plock;Plock;Plock;Plock;Pіock;Плок;Плок;;;X;
PROV306;Gdynia;Gdynia;Gdynia;Gdynia;Gdynia;Gdynia;Гдыня;Гдыня;;;X;
PROV307;Torun;Torun;Torun;Torun;Torun;Toruс;Торунь;Торунь;;;X;
PROV308;Meseritz;Meseritz;Meseritz;Meseritz;Meseritz;Meseritz;Мезериц;Мезериц;;;X;
PROV309;Cottbus;Cottbus;Cottbus;Cottbus;Cottbus;Cottbus;Коттбус;Коттбус;;;X;
PROV310;Leipzig;Leipzig;Leipzig;Leipzig;Leipzig;Leipzig;Лейпциг;Лейпциг;;;X;
PROV311;Dresden;Dresden;Dresden;Dresden;Dresden;Dresden;Дрезден;Дрезден;;;X;
PROV312;Nьrnberg;Nьrnberg;Nьrnberg;Nьrnberg;Nьrnberg;Nьrnberg;Нюрнберг;Нюрнберг;;;X;
PROV313;Frankfurt am Main;Frankfurt am Main;Frankfurt am Main;Frankfurt am Main;Frankfurt am Main;Frankfurt am Main;Франкфурт на Майне;Франкфурт на Майне;;;X;
PROV314;Stuttgart;Stuttgart;Stuttgart;Stuttgart;Stuttgart;Stuttgart;Штуттгарт;Штуттгарт;;;X;
PROV315;Freiburg im Breisgau;Freiburg im Breisgau;Freiburg im Breisgau;Freiburg im Breisgau;Freiburg im Breisgau;Freiburg im Breisgau;Фрайбург;Фрайбург;;;X;
PROV316;Mulhouse;Mulhouse;Mulhouse;Mulhouse;Mulhouse;Mulhouse;Малхоус;Малхоус;;;X;
PROV317;Йpinal;Йpinal;Йpinal;Йpinal;Йpinal;Йpinal;Эпиналь;Эпиналь;;;X;
PROV318;Auxerre;Auxerre;Auxerre;Auxerre;Auxerre;Auxerre;Осер;Осер;;;X;
PROV319;Saint-Йtienne;Saint-Йtienne;Saint-Йtienne;Saint-Йtienne;Saint-Йtienne;Saint-Йtienne;Сент Этьен;Сент Этьен;;;X;
PROV320;Chвteauroux;Chвteauroux;Chвteauroux;Chвteauroux;Chвteauroux;Chвteauroux;Шатору;Шатору;;;X;
PROV321;Limoges;Limoges;Limoges;Limoges;Limoges;Limoges;Лимож;Лимож;;;X;
PROV322;Pйrigueux;Pйrigueux;Pйrigueux;Pйrigueux;Pйrigueux;Pйrigueux;Перигье;Перигье;;;X;
PROV323;La Rochelle;La Rochelle;La Rochelle;La Rochelle;La Rochelle;La Rochelle;Ла Рошелль;Ла Рошель;;;X;
PROV324;Montauban;Montauban;Montauban;Montauban;Montauban;Montauban;Монтабан;Монтабан;;;X;
PROV325;Mont-de-Marsan;Mont-de-Marsan;Mont-de-Marsan;Mont-de-Marsan;Mont-de-Marsan;Mont-de-Marsan;Мон де Марсан;Мон де Марсан;;;X;
PROV326;Bayonne;Bayonne;Bayonne;Bayonne;Bayonne;Bayonne;Bayonne;Байонн;;;X;
PROV327;Auch;Auch;Auch;Auch;Auch;Auch;Ош;Ош;;;X;
PROV328;Foix;Foix;Foix;Foix;Foix;Foix;Фуи;Фуи;;;X;
PROV329;Huesca;Huesca;Huesca;Huesca;Huesca;Huesca;Уэска;Уэска;;;X;
PROV330;Zaragoza;Zaragoza;Zaragoza;Zaragoza;Zaragoza;Zaragoza;Сарагосса;Сарагосса;;;X;
PROV331;Bilbao;Bilbao;Bilbao;Bilbao;Bilbao;Bilbao;Бильбао;Бильбао;;;X;
PROV332;Oviedo;Oviedo;Oviedo;Oviedo;Oviedo;Oviedo;Овьедо;Овьедо;;;X;
PROV333;Burgos;Burgos;Burgos;Burgos;Burgos;Burgos;Бургос;Бургос;;;X;
PROV334;La Coruсa;La Coruсa;La Coruсa;La Coruсa;La Coruсa;La Coruсa;Ла Корука;Ла Корунья;;;X;
PROV335;Porto;Porto;Porto;Porto;Porto;Porto;Порто;Порто;;;X;
PROV336;Lisboa;Lisboa;Lisboa;Lisboa;Lisboa;Lisboa;Лиссабон;Лиссабон;;;X;
PROV337;Coimbra;Coimbra;Coimbra;Coimbra;Coimbra;Coimbra;Коимбра;Коимбра;;;X;
PROV338;Cбceres;Cбceres;Cбceres;Cбceres;Cбceres;Cбceres;Цесерес;Цесерес;;;X;
PROV339;Valladolid;Valladolid;Valladolid;Valladolid;Valladolid;Valladolid;Вальядолид;Вальядолид;;;X;
PROV340;Soria;Soria;Soria;Soria;Soria;Soria;Сория;Сория;;;X;
PROV341;Madrid;Madrid;Madrid;Madrid;Madrid;Madrid;Мадрид;Мадрид;;;X;
PROV342;Toledo;Toledo;Toledo;Toledo;Toledo;Toledo;Толедо;Толедо;;;X;
PROV343;Badajoz;Badajoz;Badajoz;Badajoz;Badajoz;Badajoz;Бадажос;Бадажос;;;X;
PROV344;Setъbal;Setъbal;Setъbal;Setъbal;Setъbal;Setъbal;Сетубал;Сетубал;;;X;
PROV345;Beja;Beja;Beja;Beja;Beja;Beja;Беья;Беья;;;X;
PROV346;Huelva;Huelva;Huelva;Huelva;Huelva;Huelva;Уэльва;Уэльва;;;X;
PROV347;Sevilla;Sevilla;Sevilla;Sevilla;Sevilla;Sevilla;Севилья;Севилья;;;X;
PROV348;Gibraltar;Gibraltar;Gibraltar;Gibraltar;Gibraltar;Gibraltar;Гибралтар;Гибралтар;;;X;
PROV349;Mбlaga;Mбlaga;Mбlaga;Mбlaga;Mбlaga;Mбlaga;Малага;Малага;;;X;
PROV350;Granada;Granada;Granada;Granada;Granada;Granada;Гранада;Гранада;;;X;
PROV351;Cуrdoba;Cуrdoba;Cуrdoba;Cуrdoba;Cуrdoba;Cуrdoba;Кордоба;Кордоба;;;X;
PROV352;Murcia;Murcia;Murcia;Murcia;Murcia;Murcia;Мурсия;Мурсия;;;X;
PROV353;Ciudad Real;Ciudad Real;Ciudad Real;Ciudad Real;Ciudad Real;Ciudad Real;Куидад Реаль;Куидад Реаль;;;X;
PROV354;Valencia;Valencia;Valencia;Valencia;Valencia;Valencia;Валенсия;Валенсия;;;X;
PROV355;Castellуn de la Plana;Castellуn de la Plana;Castellуn de la Plana;Castellуn de la Plana;Castellуn de la Plana;Castellуn de la Plana;Кастельён де ла Плана;Кастельон де ла Плана;;;X;
PROV356;Tarragona;Tarragona;Tarragona;Tarragona;Tarragona;Tarragona;Таррагона;Таррагона;;;X;
PROV357;Barcelona;Barcelona;Barcelona;Barcelona;Barcelona;Barcelona;Барселона;Барселона;;;X;
PROV358;Perpignan;Perpignan;Perpignan;Perpignan;Perpignan;Perpignan;Перпиньян;Перпиньян;;;X;
PROV359;Toulouse;Toulouse;Toulouse;Toulouse;Toulouse;Toulouse;Тулуза;Тулуза;;;X;
PROV360;Vichy;Vichy;Vichy;Vichy;Vichy;Vichy;Виши;Виши;;;X;
PROV361;Clermont-Ferrand;Clermont-Ferrand;Clermont-Ferrand;Clermont-Ferrand;Clermont-Ferrand;Clermont-Ferrand;Клермон Ферран;Клермон Ферран;;;X;
PROV362;Montpellier;Montpellier;Montpellier;Montpellier;Montpellier;Montpellier;Монпелье;Монпелье;;;X;
PROV363;Nоmes;Nоmes;Nоmes;Nоmes;Nоmes;Nоmes;Номес;Номес;;;X;
PROV364;Marseille;Marseille;Marseille;Marseille;Marseille;Marseille;Марселль;Марсель;;;X;
PROV365;Toulon;Toulon;Toulon;Toulon;Toulon;Toulon;Тулон;Тулон;;;X;
PROV366;Nice;Nice;Nice;Nice;Nice;Nice;Ницца;Ницца;;;X;
PROV367;Ajaccio;Ajaccio;Ajaccio;Ajaccio;Ajaccio;Ajaccio;Аяччо;Аяччо;;;X;
PROV368;Genova;Genova;Genova;Genova;Genova;Genova;Генуя;Генуя;;;X;
PROV369;Parma;Parma;Parma;Parma;Parma;Parma;Парма       ;Парма       ;;;X;
PROV370;Milano;Milano;Milano;Milano;Milano;Milano;Milano;Милан;;;X;
PROV371;Trento;Trento;Trento;Trento;Trento;Trento;Trento;Тренто;;;X;
PROV372;Lugano;Lugano;Lugano;Lugano;Lugano;Lugano;Лугано;Лугано;;;X;
PROV373;Bregenz;Bregenz;Bregenz;Bregenz;Bregenz;Bregenz;Брегенц;Брегенц;;;X;
PROV374;Augsburg;Augsburg;Augsburg;Augsburg;Augsburg;Augsburg;Аугсбург;Аугсбург;;;X;
PROV375;Regensburg;Regensburg;Regensburg;Regensburg;Regensburg;Regensburg;Регенсбург;Регенсбург;;;X;
PROV376;Mьnchen;Mьnchen;Mьnchen;Mьnchen;Mьnchen;Mьnchen;Мюнхен;Мюнхен;;;X;
PROV377;Innsbruck;Innsbruck;Innsbruck;Innsbruck;Innsbruck;Innsbruck;Иннсбрук;Иннсбрук;;;X;
PROV378;Venezia;Venezia;Venezia;Venezia;Venezia;Venezia;Венеция;Венеция;;;X;
PROV379;Mantova;Mantova;Mantova;Mantova;Mantova;Mantova;Мантуя;Мантуя;;;X;
PROV380;Ljubljana;Ljubljana;Ljubljana;Ljubljana;Ljubljana;Ljubljana;Любляна;Любляна;;;X;
PROV381;Zara;Zara;Zara;Zara;Zara;Zara;Зара;Зара;;;X;
PROV382;Zagreb;Zagreb;Zagreb;Zagreb;Zagreb;Zagreb;Загреб;Загреб;;;X;
PROV383;Banja Luka;Banja Luka;Banja Luka;Banja Luka;Banja Luka;Banja Luka;Баня Лука;Баня Лука;;;X;
PROV384;Split;Split;Split;Split;Split;Split;Сплит;Сплит;;;X;
PROV385;Sarajevo;Sarajevo;Sarajevo;Sarajevo;Sarajevo;Sarajevo;Сараево;Сараево;;;X;
PROV386;Tuzla;Tuzla;Tuzla;Tuzla;Tuzla;Tuzla;Тузла;Тузла;;;X;
PROV387;Mostar;Mostar;Mostar;Mostar;Mostar;Mostar;Мостар;Мостар;;;X;
PROV388;Dubrovnik;Dubrovnik;Dubrovnik;Dubrovnik;Dubrovnik;Dubrovnik;Дубровник;Дубровник;;;X;
PROV389;Cetinje;Cetinje;Cetinje;Cetinje;Cetinje;Cetinje;Цетине;Цетине;;;X;
PROV390;Tiranл;Tiranл;Tiranл;Tiranл;Tiranл;Tiranл;Тирана;Тирана;;;X;
PROV391;Vlorл;Vlorл;Vlorл;Vlorл;Vlorл;Vlorл;Влора;Влора;;;X;
PROV392;Ioannina;Ioannina;Ioannina;Ioannina;Ioannina;Ioannina;Йоаннина;Йоаннина;;;X;
PROV393;Kerkyra;Kerkyra;Kerkyra;Kerkyra;Kerkyra;Kerkyra;Керкира;Керкира;;;X;
PROV394;Patra;Patra;Patra;Patra;Patra;Patra;Патра;Патра;;;X;
PROV395;Korinthos;Korinthos;Korinthos;Korinthos;Korinthos;Korinthos;Коринфос;Коринфос;;;X;
PROV396;Hrakleio;Hrakleio;Hrakleio;Hrakleio;Hrakleio;Hrakleio;Ираклео;Ираклео;;;X;
PROV397;Sea of Marmara;Sea of Marmara;Sea of Marmara;Sea of Marmara;Sea of Marmara;Sea of Marmara;Мраморное море;Мраморное море;;;X;
PROV398;Kalymnos;Kalymnos;Kalymnos;Kalymnos;Kalymnos;Kalymnos;Калимнос;Калимнос;;;X;
PROV399;Rodos;Rodos;Rodos;Rodos;Rodos;Rodos;Родос;Родос;;;X;
PROV400;Chalkida;Chalkida;Chalkida;Chalkida;Chalkida;Chalkida;Халкида;Халкида;;;X;
PROV401;Athina;Athina;Athina;Athina;Athina;Athina;Афины;Афины;;;X;
PROV402;Larissa;Larissa;Larissa;Larissa;Larissa;Larissa;Ларисса;Ларисса;;;X;
PROV403;Lamia;Lamia;Lamia;Lamia;Lamia;Lamia;Ламия;Ламия;;;X;
PROV404;Hayfa;Hayfa;Hayfa;Hayfa;Hayfa;Hayfa;Хайфа;Хайфа;;;X;
PROV405;Mytilini;Mytilini;Mytilini;Mytilini;Mytilini;Mytilini;Митилени;Митилени;;;X;
PROV406;Bi'r as-Saba';Bi'r as-Saba';Bi'r as-Saba';Bi'r as-Saba';Bi'r as-Saba';Bi'r as-Saba';Бир ас Саба;Бир ас Саба;;;X;
PROV407;Azraq;Azraq;Azraq;Azraq;Azraq;Azraq;Азрак;Азрак;;;X;
PROV408;Bursa;Bursa;Bursa;Bursa;Bursa;Bursa;Бурса;Бурса;;;X;
PROV409;Istanbul;Istanbul;Istanbul;Istanbul;Istanbul;Istanbul;Стамбул;Стамбул;;;X;
PROV410;Kavala;Kavala;Kavala;Kavala;Kavala;Kavala;Кавала;Кавала;;;X;
PROV411;Kilkis;Kilkis;Kilkis;Kilkis;Kilkis;Kilkis;Килкис;Килкис;;;X;
PROV412;Thessaloniki;Thessaloniki;Thessaloniki;Thessaloniki;Thessaloniki;Thessaloniki;Фесалоники;Фесалоники;;;X;
PROV413;Skoplje;Skoplje;Skoplje;Skoplje;Skoplje;Skoplje;Скопье;Скопье;;;X;
PROV414;Stip;Stip;Stip;Stip;Stip;Stip;Стип;Штип;;;X;
PROV415;Pristina;Pristina;Pristina;Pristina;Pristina;Pristina;Приштина;Приштина;;;X;
PROV416;Gorna Dzhumaya;Gorna Dzhumaya;Gorna Dzhumaya;Gorna Dzhumaya;Gorna Dzhumaya;Gorna Dzhumaya;Горна Джумая;Горна Джумая;;;X;
PROV417;Sofia;Sofia;Sofia;Sofia;Sofia;Sofia;София;София;;;X;
PROV418;Gazimagusa;Gazimagusa;Gazimagusa;Gazimagusa;Gazimagusa;Gazimagusa;Газимагуса;Газимагуса;;;X;
PROV419;Vraca;Vraca;Vraca;Vraca;Vraca;Vraca;Враца;Враца;;;X;
PROV420;Pleven;Pleven;Pleven;Pleven;Pleven;Pleven;Плевен;Плевен;;;X;
PROV421;Plovdiv;Plovdiv;Plovdiv;Plovdiv;Plovdiv;Plovdiv;Пловдив;Пловдив;;;X;
PROV422;Burgas;Burgas;Burgas;Burgas;Burgas;Burgas;Бургас;Бургас;;;X;
PROV423;Bazargic;Bazargic;Bazargic;Bazargic;Bazargic;Bazargic;Базарджик;Базарджик;;;X;
PROV424;Bucuresti;Bucuresti;Bucuresti;Bucuresti;Bucuresti;Bucuresti;Бухарест;Бухарест;;;X;
PROV425;Giurgiu;Giurgiu;Giurgiu;Giurgiu;Giurgiu;Giurgiu;Джурджу;Джурджу;;;X;
PROV426;Craiova;Craiova;Craiova;Craiova;Craiova;Craiova;Крайова;Крайова;;;X;
PROV427;Alba Iulia;Alba Iulia;Alba Iulia;Alba Iulia;Alba Iulia;Alba Iulia;Алба Юлия;Алба Юлия;;;X;
PROV428;Cluj;Cluj;Cluj;Cluj;Cluj;Cluj;Клуж;Клуж;;;X;
PROV429;Bacau;Bacau;Bacau;Bacau;Bacau;Bacau;Бакэу;Бакэу;;;X;
PROV430;Sibiu;Sibiu;Sibiu;Sibiu;Sibiu;Sibiu;Сибиу;Сибиу;;;X;
PROV431;Ploesti;Ploesti;Ploesti;Ploesti;Ploesti;Ploesti;Плоешти;Плоешти;;;X;
PROV432;Braila;Braila;Braila;Braila;Braila;Braila;Брэила;Брэила;;;X;
PROV433;Iasi;Iasi;Iasi;Iasi;Iasi;Iasi;Яссы;Яссы;;;X;
PROV434;Chisinau;Chisinau;Chisinau;Chisinau;Chisinau;Chisinau;Кишинев;Кишинев;;;X;
PROV435;Ismail;Ismail;Ismail;Ismail;Ismail;Ismail;Измаил;Измаил;;;X;
PROV436;Constanta;Constanta;Constanta;Constanta;Constanta;Constanta;Констанца;Констанца;;;X;
PROV437;Denizli;Denizli;Denizli;Denizli;Denizli;Denizli;Денизли;Денизли;;;X;
PROV438;Antalya;Antalya;Antalya;Antalya;Antalya;Antalya;Анталия;Анталия;;;X;
PROV439;Izmit;Izmit;Izmit;Izmit;Izmit;Izmit;Измит;Измит;;;X;
PROV440;Kastamonu;Kastamonu;Kastamonu;Kastamonu;Kastamonu;Kastamonu;Кастамони;Кастамони;;;X;
PROV441;Karabьk;Karabьk;Karabьk;Karabьk;Karabьk;Karabьk;Карабек;Карабек;;;X;
PROV442;Konya;Konya;Konya;Konya;Konya;Konya;Конья;Конья;;;X;
PROV443;Mersin;Mersin;Mersin;Mersin;Mersin;Mersin;Мерсин;Мерсин;;;X;
PROV444;Lefkosia;Lefkosia;Lefkosia;Lefkosia;Lefkosia;Lefkosia;Левкосия;Левкосия;;;X;
PROV445;Adana;Adana;Adana;Adana;Adana;Adana;Адана;Адана;;;X;
PROV446;Kars;Kars;Kars;Kars;Kars;Kars;Карс;Карс;;;X;
PROV447;Kirikkale;Kirikkale;Kirikkale;Kirikkale;Kirikkale;Kirikkale;Кирик-кале;Кириккале;;;X;
PROV448;Ankara;Ankara;Ankara;Ankara;Ankara;Ankara;Анкара;Анкара;;;X;
PROV449;Samsun;Samsun;Samsun;Samsun;Samsun;Samsun;Самсун;Самсун;;;X;
PROV450;Trabzon;Trabzon;Trabzon;Trabzon;Trabzon;Trabzon;Трабзон;Трабзон;;;X;
PROV451;Nis;Nis;Nis;Nis;Nis;Nis;Ниш;Ниш;;;X;
PROV452;Uzice;Uzice;Uzice;Uzice;Uzice;Uzice;Ужице;Ужице;;;X;
PROV453;Beograd;Beograd;Beograd;Beograd;Beograd;Beograd;Белград;Белград;;;X;
PROV454;Osijek;Osijek;Osijek;Osijek;Osijek;Osijek;Осиек;Осиек;;;X;
PROV455;Bjelovar;Bjelovar;Bjelovar;Bjelovar;Bjelovar;Bjelovar;Беловар;Беловар;;;X;
PROV456;Pйcs;Pйcs;Pйcs;Pйcs;Pйcs;Pйcs;Печ;Печ;;;X;
PROV457;Budapest;Budapest;Budapest;Budapest;Budapest;Budapest;Будапешт;Будапешт;;;X;
PROV458;Szйkesfehйrvбr;Szйkesfehйrvбr;Szйkesfehйrvбr;Szйkesfehйrvбr;Szйkesfehйrvбr;Szйkesfehйrvбr;Секешфехервар;Секешфехервар;;;X;
PROV459;Maribor;Maribor;Maribor;Maribor;Maribor;Maribor;Марибор;Марибор;;;X;
PROV460;Leoben;Leoben;Leoben;Leoben;Leoben;Leoben;Леобен;Леобен;;;X;
PROV461;Klagenfurt;Klagenfurt;Klagenfurt;Klagenfurt;Klagenfurt;Klagenfurt;Клагенфурт;Клагенфурт;;;X;
PROV462;Salzburg;Salzburg;Salzburg;Salzburg;Salzburg;Salzburg;Зальцбург;Зальцбург;;;X;
PROV463;Wien;Wien;Wien;Wien;Wien;Wien;Вена;Вена;;;X;
PROV464;Hollabrunn;Hollabrunn;Hollabrunn;Hollabrunn;Hollabrunn;Hollabrunn;Холлабрун;Холлабрун;;;X;
PROV465;Freistadt;Freistadt;Freistadt;Freistadt;Freistadt;Freistadt;Фрайштадт;Фрайштадт;;;X;
PROV466;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Карловы Вары;Карловы Вары;;;X;
PROV467;Znojmo;Znojmo;Znojmo;Znojmo;Znojmo;Znojmo;Зноймо;Зноймо;;;X;
PROV468;Hradec Krбlovй;Hradec Krбlovй;Hradec Krбlovй;Hradec Krбlovй;Hradec Krбlovй;Hradec Krбlovй;Градец Карловы;Градец Карловы;;;X;
